OrderID,OrderDate,CustomerID,CustomerName,ProductID,ProductName,Category,SubCategory,Quantity,UnitPrice,TotalAmount,Region
184,2024-06-20,C3293,Regina Schultz,P8798,Mouse,Accessories,Storage Devices,4,382.11,1528.44,East
185,2025-02-07,C1395,John Williams,P1314,USB Drive,Accessories,Input Devices,3,644.5,1933.5,South
186,2024-06-16,C6268,Jacob Casey,P6967,Printer,Electronics,Peripherals,9,630.31,5672.79,North
187,2025-01-13,C4409,Heather Schmidt,P1122,Table Lamp,Furniture,Storage,1,394.75,394.75,East
188,2025-06-04,C4504,Patrick Johnson,P3596,Mouse,Accessories,Input Devices,1,427.96,427.96,North
189,2024-12-22,C8870,Ashley Thomas,P1896,USB Drive,Accessories,Audio,5,437.81,2189.05,North
190,2024-08-17,C1989,Emily Powell,P4145,Laptop,Electronics,Computers,8,794.55,6356.4,North
191,2025-02-12,C1124,Mark Cruz,P2896,Keyboard,Accessories,Storage Devices,3,76.54,229.62,South
192,2024-11-06,C7815,Louis Anderson,P7113,Headphones,Accessories,Input Devices,9,503.96,4535.64,West
193,2024-12-01,C5663,Melissa Wheeler,P8834,Printer,Electronics,Peripherals,10,68.33,683.3,East
194,2024-11-12,C9455,Desiree Smith,P4581,Webcam,Electronics,Mobile Devices,6,812.39,4874.34,South
195,2024-11-17,C1026,Michael Williams,P7511,Headphones,Accessories,Audio,5,146.96,734.8,South
196,2024-06-18,C5334,Jennifer Riley,P2216,Desk,Furniture,Storage,7,294.61,2062.27,West
197,2024-08-19,C4928,Ashley Cowan,P1752,Printer,Electronics,Computers,1,459.81,459.81,West
198,2024-07-20,C5402,Jessica Lane,P5687,Mouse,Accessories,Input Devices,8,479.45,3835.6,East
199,2025-03-31,C5291,Michelle Roberts,P4865,Mouse,Accessories,Audio,3,304.14,912.42,South
200,2024-08-08,C8087,Janet Bowers,P2048,Office Chair,Furniture,Tables,4,721.46,2885.84,East
201,2024-11-22,C7955,Juan Obrien,P6049,Keyboard,Accessories,Audio,5,362.9,1814.5,South
202,2025-04-16,C4490,Diana Lopez,P8307,Bookshelf,Furniture,Storage,3,654.15,1962.45,North
203,2024-11-11,C1061,Fred Brooks,P5387,Monitor,Electronics,Peripherals,7,177.26,1240.82,West
204,2024-12-13,C7451,Sonya Young,P6375,Headphones,Accessories,Storage Devices,2,837.54,1675.08,West
205,2024-07-13,C6953,,P3302,Headphones,Accessories,Audio,7,783.3,5483.1,East
206,2024-09-04,C9443,Jordan Morgan,P9907,Smartphone,Electronics,Mobile Devices,3,609.53,1828.59,South
207,2025-01-26,C6788,Ricardo Conley,P4223,Desk,Furniture,Tables,6,688.87,4133.22,West
208,2024-12-20,C1353,Danielle Cooley,P2772,Mouse,Accessories,Storage Devices,1,155.62,155.62,North
209,2025-06-06,C3447,Mark Mcdonald,P8431,Webcam,Electronics,Mobile Devices,7,766.29,5364.03,South
210,2025-05-19,C1036,Brendan Wiggins,P7670,Laptop,Electronics,Mobile Devices,4,199.62,798.48,West
211,2024-08-23,C1296,Regina James,P4584,Laptop,Electronics,Mobile Devices,8,642.18,5137.44,East
212,2025-02-24,C5960,Susan Schultz,P4066,Table Lamp,Furniture,Storage,1,671.72,671.72,North
213,2024-09-06,C9650,Melody Smith,P8391,Printer,Electronics,Computers,7,830.57,5813.99,South
214,2024-07-27,C4937,Timothy Hayes,P4550,Desk,Furniture,Tables,3,631.7,1895.1,West
215,2025-01-16,C7527,Janet Scott,P4114,Webcam,Electronics,Computers,3,296.09,888.27,North
216,2024-08-06,C5914,Jean Reid,P3737,Office Chair,Furniture,Tables,9,770.6,6935.4,North
217,2025-04-19,C8733,Steven Brown,P1668,Keyboard,Accessories,Storage Devices,2,559.93,1119.86,West
218,2024-12-01,C5179,Kayla Clark MD,P3978,Laptop,Electronics,Computers,6,896.39,5378.34,East
219,2024-12-04,C7244,Kimberly Hickman,P7917,USB Drive,Accessories,Audio,10,541.15,5411.5,West
220,2025-02-10,C2793,Anthony Gonzalez,P9635,Bookshelf,Furniture,Tables,1,928.46,928.46,North
221,2025-04-26,C1398,Heather Cummings,P2125,Office Chair,Furniture,Seating,8,448.27,3586.16,West
222,2025-04-12,C5704,Steven Luna,P1124,Printer,Electronics,Mobile Devices,7,31.07,217.49,North
223,2025-04-09,C8404,Kristina Johnson,P8964,Laptop,Electronics,Mobile Devices,6,482.16,2892.96,North
224,2025-05-16,C1991,Brian Harrington,P5590,Keyboard,Accessories,Storage Devices,8,500.09,4000.72,North
225,2024-06-28,C1387,Carlos Hester,P7924,Keyboard,Accessories,Input Devices,10,283.03,2830.3,West
226,2024-07-31,C8466,John Wade,P1751,Webcam,Electronics,Mobile Devices,7,561.46,3930.22,South
227,2024-08-15,C6619,Patrick Nguyen,P7049,Desk,Furniture,Storage,1,951.99,951.99,West
228,2025-05-29,C2533,Heather Wallace,P8171,Mouse,Accessories,Audio,1,715.51,715.51,West
229,2024-08-04,C7693,Kaitlin Allen,P5949,Printer,Electronics,Peripherals,5,870.86,4354.3,South
230,2024-10-03,C7077,Melissa Vang,P8749,Keyboard,Accessories,Input Devices,4,836.12,3344.48,East
231,2024-08-22,C8056,Brianna Allen,P5944,USB Drive,Accessories,Input Devices,3,861.42,2584.26,West
232,2024-12-06,C8106,Dorothy Walsh,P6485,Bookshelf,Furniture,Tables,9,140.95,1268.55,West
233,2025-05-21,C1229,Frank Holland,P6063,Bookshelf,Furniture,Tables,3,537.22,1611.66,West
234,2024-12-22,C3686,Jacqueline Webb,P9705,USB Drive,Accessories,Storage Devices,5,535.61,2678.05,East
235,2025-03-06,C2755,Mark Tucker,P1505,Monitor,Electronics,Computers,2,993.97,1987.94,North
236,2025-02-05,C7592,Henry Marshall,P6255,Office Chair,Furniture,Seating,3,653.86,1961.58,North
237,2025-03-06,C3799,Cristian Johnson,P2518,Office Chair,Furniture,Tables,5,171.66,858.3,North
238,2024-10-07,C2509,Luis Holland,P6151,Printer,Electronics,Mobile Devices,5,195.7,978.5,North
239,2025-04-09,C9006,Mark Silva,P2994,Bookshelf,Furniture,Tables,2,228.76,457.52,East
240,2025-02-06,C7014,Gregory Carroll,P3477,Table Lamp,Furniture,Tables,4,21.9,87.6,East
241,2025-02-03,C7102,Robert Williams Jr.,P8933,Headphones,Accessories,Audio,1,318.43,318.43,East
242,2025-05-08,C4626,Heather Lewis,P5538,Desk,Furniture,Tables,2,556.67,1113.34,East
243,2024-12-04,C6938,Joseph Harrell,P7162,Webcam,Electronics,Computers,8,972.8,7782.4,East
244,2024-11-10,C1560,Caleb Shah,P2777,Laptop,Electronics,Mobile Devices,5,876.4,4382.0,South
245,2025-03-11,C6604,Paige Price,P7414,Laptop,Electronics,Computers,9,649.42,5844.78,East
246,2025-04-22,C7358,Richard Ellis,P9340,,Furniture,Tables,6,765.4,4592.4,East
247,2024-08-12,C3717,Michael Cherry,P4154,Bookshelf,Furniture,Tables,9,546.88,4921.92,East
248,2024-12-31,C9482,Adriana Kennedy,P3234,Mouse,Accessories,Input Devices,5,542.65,2713.25,East
249,2024-08-28,C6521,Andrew Clark,P2328,Laptop,Electronics,Peripherals,3,901.5,2704.5,East
250,2024-11-07,C8957,Kelly Rodriguez,P5988,Laptop,Electronics,Mobile Devices,7,165.0,1155.0,South
251,2025-01-25,C7157,Troy Rosario,P2710,Table Lamp,Furniture,Storage,4,103.56,414.24,South
252,2025-03-19,C2303,Amanda Cross,P3724,Headphones,Accessories,Input Devices,3,694.18,2082.54,South
253,2025-03-17,C9997,Jennifer Wolfe,P8535,Table Lamp,Furniture,Storage,10,799.11,7991.1,East
254,2024-07-07,C7925,Michael Johnson,P7022,Desk,Furniture,Tables,8,504.01,4032.08,South
255,2024-10-22,C8233,Jimmy Strickland,P4665,Keyboard,Accessories,Audio,9,459.3,4133.7,West
256,2025-06-07,C3392,Mark Woods,P4275,,Electronics,Peripherals,10,148.93,1489.3,South
257,2025-03-18,C8895,Shawna Leonard,P6226,Laptop,Electronics,Peripherals,3,602.05,1806.15,South
258,2025-02-13,C9185,Autumn Nichols,P5319,Headphones,Accessories,,7,726.48,5085.36,West
259,2025-01-09,C9234,Jeffrey Soto,P9497,Smartphone,Electronics,Peripherals,5,991.02,4955.1,East
